date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:07	147411/147411	---M-Z	200	added ('OK')	text/html	etag:%2223fd3-5fd3a15cac15c-gzip%22	https://coderthemes.com/konrix/layouts/sidebar-dark.html	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/sidebar-dark.html	(from )
14:56:08	278/278	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jul%202023%2007:56:09%20GMT	https://coderthemes.com/robots.txt		(from )
14:56:08	2579/2579	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22a13-5fd3a15c5eefa%22	https://coderthemes.com/konrix/layouts/assets/images/favicon.ico	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/images/favicon.ico	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:09	197553/197553	---M-Z	200	added ('OK')	text/css	etag:%22303b1-5fd3a15c571fa-gzip%22	https://coderthemes.com/konrix/layouts/assets/css/app.min.css	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/css/app.min.css	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:09	96396/96396	---M-Z	200	added ('OK')	text/css	etag:%221788c-5fd3a15c571fa-gzip%22	https://coderthemes.com/konrix/layouts/assets/css/icons.min.css	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/css/icons.min.css	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:09	1313/1313	---M-Z	200	added ('OK')	application/javascript	etag:%22521-5fd749996775e-gzip%22	https://coderthemes.com/konrix/layouts/assets/js/config.js	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/js/config.js	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:09	147388/147388	---M-Z	200	added ('OK')	text/html	etag:%2223fbc-5fd3a15ca927c-gzip%22	https://coderthemes.com/konrix/layouts/index.html	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/index.html	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:10	6183/6183	---M--	200	added ('OK')	image/png	etag:%221827-5fd3a15c6ba1a%22	https://coderthemes.com/konrix/layouts/assets/images/logo-light.png	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/images/logo-light.png	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:10	2579/2579	---M--	200	added ('OK')	image/png	etag:%22a13-5fd3a15c6ba1a%22	https://coderthemes.com/konrix/layouts/assets/images/logo-sm.png	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/images/logo-sm.png	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:11	6249/6249	---M--	200	added ('OK')	image/png	etag:%221869-5fd3a15c6ba1a%22	https://coderthemes.com/konrix/layouts/assets/images/logo-dark.png	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/assets/images/logo-dark.png	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:11	86839/86839	---M-Z	200	added ('OK')	text/html	etag:%2215337-5fd3a15c552ba-gzip%22	https://coderthemes.com/konrix/layouts/apps-calendar.html	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/apps-calendar.html	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
14:56:11	114276/114276	---M-Z	200	added ('OK')	text/html	etag:%221be64-5fd3a15c5625a-gzip%22	https://coderthemes.com/konrix/layouts/apps-tickets.html	C:/Dashboard%20DWD/coderthemes.com/konrix/layouts/apps-tickets.html	(from https://coderthemes.com/konrix/layouts/sidebar-dark.html)
